sucursal,fecha,meses,margen,mean,std
1293,2020-12-31,5.8,-15591.0,-52298.03333333333,96729.93034702369
1302,2021-09-30,5.866666666666666,-6697.0,-53522.058333333334,97055.74696281088
1298,2021-05-31,5.9,-95862.0,-53716.73333333333,96933.24422904984
1303,2021-10-31,6.0,-41896.0,-53640.375,96976.5479335612
1282,2017-08-31,6.033333333333333,-113023.0,-53949.46666666667,96781.91953505385
1291,2019-02-28,6.033333333333333,-31526.0,-52669.6,96359.46051650526
1309,2021-12-31,6.1,-54674.0,-51771.98333333333,96597.48891946382
1308,2022-01-31,6.133333333333334,-4289.0,-50640.86666666667,95413.45339198114
1294,2021-02-28,6.166666666666667,-124837.0,-51427.25,95303.36694028949
1306,2021-11-30,6.266666666666667,3743.0,-49592.333333333336,93272.06491388363
1288,2019-04-30,6.266666666666667,-22808.0,-49609.275,93271.33311730009
1287,2019-01-31,6.333333333333333,-92452.0,-50086.833333333336,93107.58261292372
1301,2021-10-31,6.366666666666666,39828.0,-49698.925,93344.59424920623
1295,2021-06-30,6.466666666666667,142270.0,-49318.21666666667,93444.74094271877
1281,2017-06-30,6.466666666666667,-113272.0,-47429.05,96027.96065702458
1305,2021-12-31,6.5,-710.0,-47891.225,96477.29863221255
1299,2021-09-30,6.5,152058.0,-46274.558333333334,97401.87266242795
1296,2021-05-31,6.6,-36550.0,-46778.10833333333,97492.69574258491
1289,2018-09-30,6.633333333333334,-217921.0,-48459.50833333333,98841.6827072632
1292,2020-02-29,6.633333333333334,-273967.0,-50424.2,98485.99284320894
1300,2021-10-31,6.666666666666667,-102191.0,-49265.65833333333,98090.34047951146
1307,2022-01-31,6.666666666666667,-3654.0,-48853.21666666667,97908.2137978153
1297,2021-08-31,6.7,-2846.0,-48522.45,97981.02871670632
1293,2021-01-31,6.833333333333333,-9839.0,-49117.066666666666,98043.82867998788
1302,2021-10-31,6.9,7132.0,-47673.541666666664,96442.67324009495
1298,2021-06-30,6.9,-82098.0,-48110.95,96646.19239595595
1303,2021-11-30,7.0,-6763.0,-48346.75,96558.03338231193
1282,2017-09-30,7.033333333333333,-143366.0,-48522.39166666667,96507.23143238785
1291,2019-03-31,7.066666666666666,-62163.0,-48793.066666666666,96512.88152450732
1309,2022-01-31,7.133333333333334,-29730.0,-48897.99166666667,96379.95061838128
1294,2021-03-31,7.2,-91666.0,-46763.525,98689.78496141566
1287,2019-02-28,7.266666666666667,-106847.0,-46593.083333333336,98447.34239308802
1306,2021-12-31,7.3,19630.0,-46028.63333333333,98763.84933854567
1288,2019-05-31,7.3,24839.0,-45497.541666666664,98836.93809187131
1301,2021-11-30,7.366666666666666,14183.0,-46354.958333333336,98688.0033503767
1295,2021-07-31,7.5,191272.0,-45376.175,96650.74887298397
1281,2017-07-31,7.5,-95041.0,-45668.075,96776.07006658276
1305,2022-01-31,7.533333333333333,873.0,-45865.99166666667,96763.93268984562
1299,2021-10-31,7.533333333333333,137632.0,-45575.041666666664,96854.2417176229
1296,2021-06-30,7.6,-122445.0,-43678.7,95423.66551047731
1300,2021-11-30,7.666666666666667,1728.0,-44493.541666666664,95254.83076771743
1289,2018-10-31,7.666666666666667,-269645.0,-43485.958333333336,95313.40202971062
1292,2020-03-31,7.666666666666667,-206793.0,-43849.816666666666,95107.54169850303
1297,2021-09-30,7.7,18997.0,-44067.65833333333,95053.60763641437
1293,2021-02-28,7.766666666666667,-41611.0,-43246.53333333333,95390.67636731591
1302,2021-11-30,7.9,-32260.0,-41890.058333333334,95599.4604620948
1298,2021-07-31,7.933333333333334,-28180.0,-39921.316666666666,98430.49486231417
1303,2021-12-31,8.033333333333333,-14027.0,-41217.675,99392.10753849574
1282,2017-10-31,8.066666666666666,-123602.0,-40509.11666666667,98846.16885254892
1291,2019-04-30,8.066666666666666,-37961.0,-40207.775,98758.5363551738
1294,2021-04-30,8.2,-114550.0,-42873.26666666667,101010.84373503047
1287,2019-03-31,8.3,-105749.0,-43675.125,101230.76958447424
1288,2019-06-30,8.3,4552.0,-42978.941666666666,101067.27734470004
1306,2022-01-31,8.333333333333334,-45674.0,-44289.46666666667,100136.08555150691
1301,2021-12-31,8.4,41796.0,-44358.71666666667,100164.48535294276
1295,2021-08-31,8.533333333333333,204494.0,-44847.225,99928.94157034348
1299,2021-11-30,8.533333333333333,127382.0,-43037.65,98674.90058643089
1281,2017-08-31,8.533333333333333,-221901.0,-43734.9,98555.45975201525
1296,2021-07-31,8.633333333333333,-103595.0,-43021.21666666667,99127.69329668883
1289,2018-11-30,8.666666666666666,-222688.0,-39874.71666666667,97156.13603445713
1292,2020-04-30,8.666666666666666,-151928.0,-37927.86666666667,98779.64755296486
1300,2021-12-31,8.7,-4773.0,-39583.125,100058.16518192046
1297,2021-10-31,8.733333333333333,5429.0,-40454.76666666667,100224.72711892384
1293,2021-03-31,8.8,-11846.0,-40447.76666666667,100220.85404893554
1302,2021-12-31,8.933333333333334,-8128.0,-41780.49166666667,101297.83279770864
1298,2021-08-31,8.966666666666667,27007.0,-40945.21666666667,101118.53814803873
1282,2017-11-30,9.066666666666666,-82999.0,-40283.566666666666,101439.94103204002
1303,2022-01-31,9.066666666666666,-84979.0,-40430.058333333334,101473.58474307494
1291,2019-05-31,9.1,-43924.0,-40564.59166666667,101435.96125332716
1294,2021-05-31,9.233333333333333,-46622.0,-39437.958333333336,101242.71157802186
1287,2019-04-30,9.3,-46814.0,-39612.3,101185.72549596378
1288,2019-07-31,9.333333333333334,29868.0,-38644.61666666667,101900.52084471035
1301,2022-01-31,9.433333333333334,-2303.0,-37647.225,101955.16135223716
1295,2021-09-30,9.533333333333333,193438.0,-37696.11666666667,101919.09696397756
1281,2017-09-30,9.533333333333333,-168190.0,-40108.51666666667,101045.8609465855
1299,2021-12-31,9.566666666666666,104895.0,-39871.166666666664,100905.91487583856
1296,2021-08-31,9.666666666666666,-94169.0,-40480.6,100888.25195987556
1289,2018-12-31,9.7,-226606.0,-43435.95,100393.87118483112
1292,2020-05-31,9.7,-149610.0,-42985.625,100546.1010245785
1297,2021-11-30,9.733333333333333,-13619.0,-41686.066666666666,99265.71607057455
1300,2022-01-31,9.733333333333333,-67227.0,-40055.50833333333,96999.32017954583
1293,2021-04-30,9.8,-7460.0,-39211.933333333334,96894.5278842489
1302,2022-01-31,9.966666666666667,-94762.0,-38909.925,97062.62249799148
1298,2021-09-30,9.966666666666667,-68747.0,-39145.35833333333,97008.66017303814
1282,2017-12-31,10.1,-118683.0,-38344.53333333333,97647.17917321663
1291,2019-06-30,10.1,-26561.0,-39577.566666666666,98001.66100690931
1294,2021-06-30,10.233333333333333,-31285.0,-38031.23333333333,98785.91292171687
1287,2019-05-31,10.333333333333334,-66896.0,-38274.85,98744.19239262344
1288,2019-08-31,10.366666666666667,66030.0,-38451.90833333333,98953.0431292426
1295,2021-10-31,10.566666666666666,184906.0,-39609.73333333333,100039.69103081904
1281,2017-10-31,10.566666666666666,-175491.0,-39070.441666666666,100267.57055325531
1278,2017-01-31,10.6,42387.0,-38793.725,100166.96869198226
1299,2022-01-31,10.6,-414.0,-37655.23333333333,100163.38095472431
1296,2021-09-30,10.666666666666666,-80359.0,-37683.7,100147.44769627084
1292,2020-06-30,10.7,-188735.0,-38067.808333333334,99993.90673245251
1289,2019-01-31,10.733333333333333,-104212.0,-37031.2,101177.89167455287
1297,2021-12-31,10.766666666666667,-51757.0,-37582.583333333336,100097.7909890311
1293,2021-05-31,10.833333333333334,1535.0,-38098.7,100555.16809684556
1298,2021-10-31,11.0,-2768.0,-38582.78333333333,100505.79119065838
1282,2018-01-31,11.133333333333333,-73387.0,-40984.26666666667,99699.56258753987
1291,2019-07-31,11.133333333333333,21958.0,-39584.775,99725.16607682234
1294,2021-07-31,11.266666666666667,-12081.0,-40398.40833333333,99783.54984450774
1287,2019-06-30,11.333333333333334,-33685.0,-38085.53333333333,97618.31309344045
1288,2019-09-30,11.366666666666667,44373.0,-35856.0,96784.4709330041
1278,2017-02-28,11.533333333333333,53396.0,-35915.025,96752.89182297661
1295,2021-11-30,11.566666666666666,215563.0,-34071.0,98731.90917748898
1281,2017-11-30,11.566666666666666,-191110.0,-34951.10833333333,99185.31257712391
1289,2019-02-28,11.666666666666666,-74084.0,-33995.26666666667,99801.87982144761
1296,2021-10-31,11.7,-50771.0,-34631.666666666664,99916.8985944234
1292,2020-07-31,11.733333333333333,-285168.0,-34973.96666666667,100293.90744617744
1297,2022-01-31,11.8,-118889.0,-34246.35833333333,100588.34042259249
1293,2021-06-30,11.833333333333334,-25112.0,-33853.666666666664,100363.93726743055
1298,2021-11-30,12.0,-51379.0,-31205.916666666668,102617.09619415634
1282,2018-02-28,12.066666666666666,-89209.0,-31072.058333333334,102674.59292971305
1291,2019-08-31,12.166666666666666,-26076.0,-30992.125,102666.86307456988
1294,2021-08-31,12.3,-3611.0,-31205.591666666667,102540.80221419677
1287,2019-07-31,12.366666666666667,-68469.0,-31095.208333333332,102803.45390699836
1288,2019-10-31,12.4,78034.0,-33423.59166666667,102347.0635602375
1278,2017-03-31,12.566666666666666,86360.0,-30694.966666666667,101642.29915862286
1295,2021-12-31,12.6,158926.0,-30025.758333333335,101422.41967470605
1281,2017-12-31,12.6,-214222.0,-29439.425,100498.4302250966
1296,2021-11-30,12.7,-111294.0,-28049.441666666666,99942.00967912567
1289,2019-03-31,12.7,-95022.0,-26105.516666666666,102631.00119326761
1292,2020-08-31,12.766666666666667,-201823.0,-26852.958333333332,102725.97592595278
1293,2021-07-31,12.866666666666667,-12790.0,-26493.85,102854.1200266081
1298,2021-12-31,13.033333333333333,47872.0,-24206.925,106260.44263369417
1282,2018-03-31,13.1,-72253.0,-24154.783333333333,106287.31607419197
1291,2019-09-30,13.166666666666666,-20433.0,-25148.366666666665,107393.54914267926
1294,2021-09-30,13.3,10359.0,-23071.666666666668,108629.2205248548
1287,2019-08-31,13.4,-17178.0,-22871.316666666666,108612.60802518892
1288,2019-11-30,13.4,93314.0,-24264.683333333334,109983.71749888101
1278,2017-04-30,13.566666666666666,27235.0,-24059.875,109964.25553364273
1295,2022-01-31,13.633333333333333,33961.0,-21337.75,115227.58901709814
1281,2018-01-31,13.633333333333333,-147218.0,-21957.316666666666,115324.22127785756
1289,2019-04-30,13.7,-84790.0,-23336.816666666666,113704.74419035765
1296,2021-12-31,13.733333333333333,-73842.0,-21427.9,113174.07746003984
1292,2020-09-30,13.766666666666667,-202584.0,-20666.783333333333,114331.95736396429
1293,2021-08-31,13.9,17489.0,-21068.308333333334,114676.34945913596
1298,2022-01-31,14.066666666666666,-61974.0,-18049.191666666666,113986.66218453525
1282,2018-04-30,14.1,-78300.0,-16967.008333333335,113341.76193143734
1291,2019-10-31,14.2,-962.0,-18371.9,114340.34825554802
1294,2021-10-31,14.333333333333334,32587.0,-15807.816666666668,116661.97148588953
1287,2019-09-30,14.4,-31098.0,-16346.916666666666,116772.49161003859
1288,2019-12-31,14.433333333333334,86260.0,-15093.95,116730.67975608127
1281,2018-02-28,14.566666666666666,-140832.0,-13935.775,116883.24221308662
1278,2017-05-31,14.6,103462.0,-12317.7,116764.91780651848
1289,2019-05-31,14.733333333333333,-35997.0,-10732.091666666667,117856.67705495903
1296,2022-01-31,14.766666666666667,-164613.0,-11571.116666666667,118361.52461951131
1292,2020-10-31,14.8,-201102.0,-10999.433333333332,118257.68869105361
1293,2021-09-30,14.9,34985.0,-11608.975,118045.6328766612
1282,2018-05-31,15.133333333333333,-58460.0,-11314.083333333334,118583.64975749448
1291,2019-11-30,15.2,29772.0,-10435.633333333333,117744.70946625584
1294,2021-11-30,15.333333333333334,16214.0,-10105.95,117949.06403922231
1287,2019-10-31,15.433333333333334,-21254.0,-9253.991666666667,118388.06831136206
1288,2020-01-31,15.466666666666667,138576.0,-8004.675,118422.42796217489
1278,2017-06-30,15.6,125106.0,-4761.591666666666,118759.77585197649
1281,2018-03-31,15.6,-156975.0,-4960.291666666667,118947.36596370734
1289,2019-06-30,15.733333333333333,-57217.0,-3602.1833333333334,119338.31199048871
1292,2020-11-30,15.8,-150546.0,-3686.3,119338.21799544943
1293,2021-10-31,15.933333333333334,45494.0,-4114.558333333333,119427.0729336911
1282,2018-06-30,16.133333333333333,-95908.0,-1548.1833333333334,121221.42309846276
1291,2019-12-31,16.233333333333334,7900.0,-3198.925,122243.07655803037
1294,2021-12-31,16.366666666666667,60751.0,-2693.3,122331.48035532818
1287,2019-11-30,16.433333333333334,11914.0,-1964.7166666666667,122405.68433766117
1288,2020-02-29,16.433333333333334,179672.0,-1480.5083333333334,122705.08463285555
1281,2018-04-30,16.6,-137873.0,-560.8666666666667,123530.59668584906
1278,2017-07-31,16.633333333333333,86521.0,-3632.6,122691.34633811316
1289,2019-07-31,16.766666666666666,-90395.0,-729.65,122338.86882283678
1292,2020-12-31,16.833333333333332,-164678.0,-609.9166666666666,122273.48698273618
1293,2021-11-30,16.933333333333334,49352.0,-491.025,122231.23228492029
1282,2018-07-31,17.166666666666668,-67427.0,3807.233333333333,121200.9974739672
1277,2017-01-31,17.233333333333334,211981.0,4099.016666666666,120945.008849948
1291,2020-01-31,17.266666666666666,20615.0,4649.15,120961.16226561971
1294,2022-01-31,17.4,-36082.0,5192.983333333334,120853.80129893756
1287,2019-12-31,17.466666666666665,16180.0,6441.816666666667,120644.20989327601
1288,2020-03-31,17.466666666666665,217740.0,7700.716666666666,121089.40298701194
1281,2018-05-31,17.633333333333333,-152024.0,9046.658333333333,121857.80602710447
1278,2017-08-31,17.666666666666668,105534.0,8715.2,122124.22726656434
